Head,Relation,Tail
Bipolar disorders,feature,episodes of mania and depression.
Patients with bipolar disorders,often show a predominance of,either mania or depression.
The exact cause,is,unknown.
Heredity,may contribute to,the development of bipolar disorders.
Changes in brain neurotransmitter levels,may play a role,in bipolar disorders.
Psychosocial factors,may influence,the occurrence of bipolar disorders.
Diagnosis of bipolar disorders,is made based on,the patient's history.
Treatment for bipolar disorders,includes,mood-stabilizing medications.
Psychotherapy,may be used in conjunction with medications,to treat bipolar disorders.
Bipolar disorders,typically start during,"teenage years, 20s, or 30s."
Bipolar Disorder in Children and Adolescents,provides,additional information on early onset.
The lifetime prevalence of bipolar disorders,is,around 2%.
Reference (1),indicates,the source for the lifetime prevalence statistic.
Bipolar disorders,include,Bipolar I disorder.
Bipolar disorders,include,Bipolar II disorder.
Bipolar disorders,include,Substance-/medication-induced bipolar disorder.
Bipolar disorders,include,Bipolar and related disorder due to another medical condition.
Bipolar disorders,include,Unspecified bipolar disorder.
Cyclothymic disorder,involves,patients having prolonged periods (> 2-year) with hypomanic and depressive episodes.
Episodes in cyclothymic disorder,do not meet,the criteria for bipolar or major depressive disorder.
The exact cause,remains,unknown.
Heredity,significantly influences,the development of bipolar disorder.
"Dysregulation of neurotransmitters serotonin, norepinephrine, and dopamine",is evident,in bipolar disorder.
Psychosocial factors,may contribute to,bipolar disorder.
Stressful life events,correlate with,the onset and worsening of bipolar disorder symptoms.
The relationship,is,unclear between cause and effect in stress and bipolar disorder.
Sympathomimetics like cocaine and amphetamines,can trigger,exacerbations in bipolar disorder.
Alcohol,may provoke,symptom exacerbations in individuals with bipolar disorder.
Corticosteroids,are potential triggers for,exacerbations in bipolar disorder.
"Certain antidepressants, including tricyclics and noradrenergic reuptake inhibitors",can cause exacerbations,in bipolar disorder patients.
Bipolar disorder,starts with,an acute phase of depression or mania symptoms.
Bipolar disorder,has,a cyclical pattern of remission and relapse.
Remissions,are,often complete in bipolar disorder.
Many patients with bipolar disorder,experience,residual symptoms.
Some patients with bipolar disorder,have,a severe impairment in work functionality.
Relapses in bipolar disorder,consist of,discrete episodes with intensified symptoms.
Symptoms during bipolar disorder relapses,can be,"manic, depressive, hypomanic, or mixed."
Episodes,can last,from a few weeks to 3 to 6 months.
Depressive episodes,usually last,longer than manic or hypomanic episodes.
The length of cycles,varies,among patients.
Some patients,experience,"infrequent episodes, with only a few over a lifetime."
Others,suffer from,"rapid-cycling forms, defined as four or more episodes per year."
A minority of patients,alternate,between mania and depression with each cycle.
In most patients,either mania or depression,predominates.
Lifetime incidence of suicide,in patients with,bipolar disorder is significantly higher than in the general population.
